GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",21287123,22331474,23372138,24429161,26019615,27696199,29761264,32860667,32995420,35374322,37870572,38997090,38565077,40642115,41918639,41285498,41919375,43522749,44507583,45366320,48207950,50349667
 "02000","Alaska",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732923,734182,733583
 "02000","Alaska",8,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635
 "02000","Alaska",8,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",17029542,18028572,18955972,19934489,21169408,22333919,23393313,24425916,25422826,26937853,28437092,29480679,29693231,30367977,31209356,30384981,30445976,31385975,32049395,31624353,32986297,34526018
 "02000","Alaska",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1737867,1843725,1903804,2028514,2178900,2378231,2476718,2557019,2599514,2676088,2544967,2697423,3122775,3115890,3164286,3054823,3082385,3152849,3274560,3259162,3456389,3723794
 "02000","Alaska",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",840321,893623,925646,982952,1050506,1154177,1222260,1270295,1291084,1338171,1100821,1146258,1516350,1548140,1587241,1545269,1572863,1626099,1711092,1699983,1785241,1926119
 "02000","Alaska",8,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",897546,950102,978158,1045562,1128394,1224054,1254458,1286724,1308430,1337917,1444146,1551165,1606425,1567750,1577045,1509554,1509522,1526750,1563468,1559179,1671148,1797675
 "02000","Alaska",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-862962,-791015,-699597,-607355,-512150,-419566,-307736,-173233,-178639,-179839,-194369,-205444,-206378,-219950,-223543,-194639,-181568,-191483,-197068,-189735,-188459,-202629
 "02000","Alaska",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",14428713,15393832,16352571,17298620,18478358,19536122,20608859,21695664,22644673,24081926,25697756,26577812,26364078,27032137,27821527,27135519,27182023,28041643,28577767,28175456,29341449,30599595
 "02000","Alaska",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",3638877,3630246,3773706,3922133,4136805,4544611,5068587,5703654,5603073,5956426,6634321,7016981,6783998,7129596,7458993,7557601,7726501,7875421,7918520,7806368,8445051,9031018
 "02000","Alaska",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",3219533,3307396,3245861,3208408,3404452,3615466,4083818,5461349,4747674,5335970,5538495,5402297,5417001,6480382,6638119,6592378,7010851,7605685,8011296,9384496,10421450,10719054
 "02000","Alaska",8,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",11733847,12324416,12794998,13460960,14256392,15122490,16103091,17037858,17532353,17998024,18772302,19588215,19949102,20515476,21225740,20517847,20397036,21050053,21846741,21551009,22537162,24007869
 "02000","Alaska",8,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",3153314,3388080,3734310,3997473,4335579,4476020,4683769,4775985,5006987,5169982,5692027,6143052,6405385,6620423,6595748,6672841,6758639,7241944,7177451,6811478,6744072,6943819
 "02000","Alaska",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",2255768,2437978,2756152,2951911,3207185,3251966,3429311,3489261,3698557,3832065,4247881,4591887,4798960,5052673,5018703,5163287,5249117,5715194,5613983,5252299,5072924,5146144
 "02000","Alaska",8,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",897546,950102,978158,1045562,1128394,1224054,1254458,1286724,1308430,1337917,1444146,1551165,1606425,1567750,1577045,1509554,1509522,1526750,1563468,1559179,1671148,1797675
 "02000","Alaska",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",2142381,2316076,2426664,2476056,2577437,2735409,2606453,2612073,2883486,3769847,3972763,3749412,3338744,3232078,3387868,3194293,3290301,3093978,3025203,3261866,3705063,3574330
 "02000","Alaska",8,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",13108,12679,5681,8187,7849,4004,2980,-12852,-14145,-12598,-12562,-9152,-12832,-12648,-11142,-8749,-16796,-13657,-12931,-16754,-10930,-35782
 "02000","Alaska",8,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",2129273,2303397,2420983,2467869,2569588,2731405,2603473,2624925,2897631,3782445,3985325,3758564,3351576,3244726,3399010,3203042,3307097,3107635,3038134,3278620,3715993,3610112
 "02000","Alaska",8,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",20006,19515,11732,14549,13947,10272,9403,373,4965,6328,5660,11218,7650,8216,8207,11910,8929,9774,10246,8028,14558,-7433
 "02000","Alaska",8,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",17009536,18009057,18944240,19919940,21155461,22323647,23383910,24425543,25417861,26931525,28431432,29469461,29685581,30359761,31201149,30373071,30437047,31376201,32039149,31616325,32971739,34533451
 "02000","Alaska",8,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",11749385,12310947,12860608,13562812,14414885,15255852,16024706,16779859,17255813,18485246,19511094,20170027,20564796,20990951,21790041,20709607,20646542,21112202,21834843,21520527,22983123,24283784
 "02000","Alaska",8,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",(D),270897,301397,290582,327620,355225,248457,240896,243922,418137,393549,377781,375631,366392,460045,380822,373301,364182,391612,(D),412772,363432
 "02000","Alaska",8,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",40222,35921,33936,(D),39090,28348,19829,16503,21730,(D),(D),25037,32926,40100,52591,38516,(D),29678,33887,36411,24396,20243
 "02000","Alaska",8,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(D),(D),263252,248716,283800,(D),(D),(D),216749,375409,347140,347949,337456,321626,401021,337247,341382,(D),350274,365686,377874,331999
 "02000","Alaska",8,CAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",(D),(D),4209,(D),4730,(D),(D),(D),5443,(D),(D),4795,5249,4666,6433,5059,(D),(D),7451,(D),10502,11190
 "02000","Alaska",8,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",(D),956161,910653,1094197,1216684,1511958,1763685,2122776,2069417,2170671,2418718,2499471,2588938,2776864,2775545,2195064,2219027,2260583,2235503,1966237,1930631,2031450
 "02000","Alaska",8,CAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",406642,403760,373773,427573,463330,512823,600545,721306,735097,758804,814613,926903,1005869,1121604,1115735,919094,1058994,1050542,980000,784865,847763,826364
 "02000","Alaska",8,CAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",(D),109335,116370,117675,140420,176161,202190,224962,204618,236554,280344,289690,272824,278164,301586,331970,357317,423197,406610,490141,476589,506676
 "02000","Alaska",8,CAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",504494,443066,420510,548949,612934,822974,960950,1176508,1129702,1175313,1323761,1282878,1310245,1377096,1358224,944000,802716,786844,848893,691231,606279,698410
 "02000","Alaska",8,CAINC5N,300,"22","   Utilities ","Thousands of dollars",128717,147666,152031,159909,165436,172675,180126,200821,217417,230150,253254,249263,273238,278687,286536,292041,278299,321171,331026,373162,404797,393390
 "02000","Alaska",8,CAINC5N,400,"23","   Construction ","Thousands of dollars",1382124,1514012,1661223,1741665,1866075,1922492,1948747,1963395,2103130,2275804,2276494,2291326,2160898,2284058,2378175,2127027,1991139,2097165,2256084,2217056,2206597,2268028
 "02000","Alaska",8,CAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",357153,409478,482388,488458,535916,568100,643612,676999,767816,789007,816671,760083,629803,612618,626594,571017,576597,640158,720645,725048,720548,733410
 "02000","Alaska",8,CAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",275342,281141,306075,328855,360294,393410,371242,391783,428410,463188,424449,458223,486164,583233,650064,570537,503161,539330,585988,562247,562944,595799
 "02000","Alaska",8,CAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",749629,823393,872760,924352,969865,960982,933893,894613,906904,1023609,1035374,1073020,1044931,1088207,1101517,985473,911381,917677,949451,929761,923105,938819
 "02000","Alaska",8,CAINC5N,500,"31-33","   Manufacturing ","Thousands of dollars",532063,531622,576616,603974,660382,695992,725496,713344,693601,725187,787347,858261,946939,933733,1004572,954159,954509,951935,1004265,(D),1038555,1150362
 "02000","Alaska",8,CAINC5N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",(D),(D),100462,109304,127299,141650,150728,162847,150050,141487,146751,178373,192860,175987,187206,167670,160208,161342,165863,(D),178443,197686
 "02000","Alaska",8,CAINC5N,511,"321","     Wood product manufacturing ","Thousands of dollars",21623,14285,11849,13930,14414,(D),21696,22715,17380,(D),(D),(D),(D),36480,41304,31693,24792,18784,17458,17965,15325,16011
 "02000","Alaska",8,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",23913,24160,28754,26970,29266,(D),25504,24017,23840,23098,20655,21858,22409,22402,25005,22351,22331,22198,20284,22346,22728,23130
 "02000","Alaska",8,CAINC5N,513,"331","     Primary metal manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),2546,1499,1661,2491,1704,1256,1285,1113,764,927,1253,1516,1838,1059,2392
 "02000","Alaska",8,CAINC5N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",20433,20830,22850,26841,34058,43651,(D),(D),34879,34229,48943,53148,56587,45324,42667,35472,29740,31158,36998,36234,35306,38405
 "02000","Alaska",8,CAINC5N,515,"333","     Machinery manufacturing ","Thousands of dollars",2432,4253,3328,2366,4474,4827,4982,5915,7569,5505,6051,6425,6445,6907,9131,7057,7584,6723,7647,12994,8525,7861
 "02000","Alaska",8,CAINC5N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",(D),(D),(D),(D),6119,7104,8667,9424,(D),(D),(D),12358,(D),(D),(D),(D),10594,12876,15493,17018,16922,17877
 "02000","Alaska",8,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",549,447,752,1393,1593,2475,2683,2409,2130,(D),(D),(D),1782,(D),1436,1432,(D),1239,(D),(D),(D),(D)
 "02000","Alaska",8,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2133,1407,2202,(D),2593,(D),(D),(D),3267,4019
 "02000","Alaska",8,CAINC5N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",8004,9656,(D),12092,15001,13939,21997,22997,(D),28323,(D),(D),(D),27500,(D),(D),37044,(D),(D),(D),49539,63021
 "02000","Alaska",8,CAINC5N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",4838,4846,5358,6214,6560,7478,7361,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,CAINC5N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",9071,9784,11890,13186,13850,15738,16396,21834,(D),17374,12825,11763,14540,15537,14200,14878,16633,18445,17117,17511,16908,15541
 "02000","Alaska",8,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",(D),(D),476154,494670,533083,554342,574768,550497,543551,583700,640596,679888,754079,757746,817366,786489,794301,790593,838402,809930,860112,952676
 "02000","Alaska",8,CAINC5N,531,"311","     Food manufacturing ","Thousands of dollars",318004,325569,362391,378201,409888,422673,447940,431692,427601,469729,520229,552990,621380,624676,679825,648989,663554,657276,696803,660909,715355,802983
 "02000","Alaska",8,CAINC5N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",5109,3880,4762,5641,6391,6042,8631,10244,10166,12484,15607,20973,20677,21785,21499,22415,24925,25363,29805,32865,32193,35290
 "02000","Alaska",8,CAINC5N,533,"313","     Textile mills ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),375,(D),(D),(D),(D),(D)
 "02000","Alaska",8,CAINC5N,534,"314","     Textile product mills ","Thousands of dollars",938,1766,(D),2484,3309,3384,3377,2589,2948,3136,2552,3578,3682,4071,3815,3379,3296,3616,2051,1701,(D),(D)
 "02000","Alaska",8,CAINC5N,535,"315","     Apparel manufacturing ","Thousands of dollars",(D),(D),571,532,823,(D),471,747,919,567,(D),(D),(D),352,320,383,(D),(D),241,829,1344,1348
 "02000","Alaska",8,CAINC5N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),943,(D),(D),233,(D),729,572,1228,1572,1646,(D),1551,(D),(D)
 "02000","Alaska",8,CAINC5N,537,"322","     Paper manufacturing ","Thousands of dollars",(D),(D),(D),(D),143,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,CAINC5N,538,"323","     Printing and related support activities ","Thousands of dollars",20561,20608,20235,19374,18765,18875,18819,19374,17738,17266,18056,18207,18406,18448,18012,18266,17763,18334,17271,14123,14304,15208
 "02000","Alaska",8,CAINC5N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",52061,47719,47634,50115,53744,66022,62374,64944,69830,66602,71307,72759,77660,77028,81989,79801,69939,70588,(D),87761,81870,80652
 "02000","Alaska",8,CAINC5N,541,"325","     Chemical manufacturing ","Thousands of dollars",(D),(D),(D),(D),32951,26796,24111,11434,4439,4930,5388,4387,3813,3687,4270,4383,6514,7979,8380,5883,7248,8062
 "02000","Alaska",8,CAINC5N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,CAINC5N,600,"42","   Wholesale trade ","Thousands of dollars",336657,347914,346386,367981,396826,420416,440009,447775,434109,433449,458200,465193,492967,490888,504218,496998,507371,530719,541899,529991,538797,575760
 "02000","Alaska",8,CAINC5N,700,"44-45","   Retail trade ","Thousands of dollars",1378136,1461908,1497344,1435549,1483208,1499786,1499470,1463492,1480585,1545844,1590744,1600328,1605684,1631024,1689641,1645381,1645942,1689533,1770839,1832626,1924607,1987973
