,mean,min,max,SD
Total Base,-0.002,-0.629,0.744,0.179
PCEPI,0.0,-0.016,0.037,0.005
Currency in Circulation,-0.0,-0.178,0.106,0.032
Reserves at Fed,0.002,-4.285,4.618,1.003
Effective Federal Funds Rate (%),-0.243,-4.585,3.273,1.4
Unemployment Rate,-0.1,-8.7,11.1,1.281
$U_N$,-0.043,-0.079,-0.019,0.014
$\pi_{1e}$,-0.055,-2.414,2.451,0.634
Currency in Circulation / Total Base,-0.0,-0.037,0.043,0.004
Inflation Loss,0.0,-0.016,0.037,0.005
Unemployment Loss,-0.057,-8.662,11.147,1.282
Inflation Loss Sq,0.001,-0.063,0.147,0.02
Unemployment Loss Sq,-0.072,-101.651,104.91,8.034
Loss Function,0.054,-104.942,101.737,8.039
