,count,mean,std,min,25%,50%,75%,max
Effective Federal Funds Rate Diff-in-Diff (%),189.0,-0.0933525369444115,1.3954783719943018,-3.588387096774189,-0.18866666666666676,0.07322580645161282,0.2903333333333351,4.05225806451613
Currency in Circulation / Total Assets Diff-in-Diff,189.0,-0.40671101481749306,17.003576343458665,-51.909298879316964,-2.185120845294378,0.24599201550139682,3.0532966564646316,55.26520011329892
Loss Function Diff-in-Diff,189.0,-1.7762517170159222,15.13810770899297,-117.80548582992192,-2.2914197872848767,-0.5819022262083822,0.14189579498970062,36.76540174733008
Unemployment Loss Diff-in-Diff,189.0,0.23174603174603173,1.8075631942243373,-4.1,-0.20000000000000107,0.10000000000000053,0.5000000000000009,11.400000000000002
Inflation Loss Diff-in-Diff,189.0,-0.039985212028141696,0.8468465986832848,-1.8238694127568733,-0.6558872536064575,-0.13171671078355818,0.4199158171307449,2.463992720919994
