,mean,min,max,SD
Total Base,-0.009,-1.373,0.809,0.306
PCEPI,0.001,-0.022,0.04,0.008
Currency in Circulation,-0.002,-0.263,0.277,0.056
Reserves at Fed,0.012,-8.852,4.622,1.721
Effective Federal Funds Rate (%),0.084,-5.691,4.052,1.722
Unemployment Rate,-0.048,-19.8,11.5,1.351
$U_N$,0.0,-0.013,0.014,0.006
$\pi_{1e}$,0.054,-2.815,4.865,1.0
Currency in Circulation / Total Base,-0.0,-0.08,0.059,0.007
Inflation Loss,0.001,-0.022,0.04,0.008
Unemployment Loss,-0.048,-19.809,11.506,1.351
Inflation Loss Sq,0.003,-0.088,0.156,0.031
Unemployment Loss Sq,-0.054,-206.561,105.462,8.745
Loss Function,0.072,-105.485,206.679,8.751
