,count,mean,std,min,25%,50%,75%,max
Effective Federal Funds Rate Diff (%),201.0,-0.013220010967989648,1.2432351657520342,-4.099000000000002,-0.11066666666666668,0.04133333333333333,0.7200000000000002,2.070322580645162
Currency in Circulation / Total Assets Diff,201.0,-3.3773182136326523,11.871462588481277,-53.11032357428742,-3.135680630020687,-0.26811659459743,2.0717467477627025,6.997504885223179
Loss Function Diff,201.0,-1.3118258611961737,13.713176738564766,-117.81162975286881,0.03893309644448972,1.0174171401025704,3.9872900504702677,13.222846180446393
Unemployment Loss Diff,201.0,0.05621890547263669,1.7098168416063737,-1.5,-0.6999999999999993,-0.5,-0.09999999999999964,11.100000000000001
Inflation Loss Diff,201.0,-0.00807624013163933,0.5005317568816829,-1.6194357800627834,-0.3267979263580578,0.028922747145077032,0.34262026863507433,1.0148636832268965
